Index,Video Url,Video Title,Video Views,Video Likes,Video Comments,Video Author,Duration In Seconds
12,https://www.youtube.com/watch?v=C5C4xq2vryU,Elon Vs Musk Fight | iPhone 16 Ultra | Laptop BAN In India | WTF | Episode 55 | Technical Guruji🔥🔥🔥,199648,9645,1121,Technical Guruji,683
13,https://www.youtube.com/watch?v=DWK_1mD-pSk,Why Samsung Galaxy Watch 6 Is The Best Smartwatch?🔥🔥🔥,99147,4818,379,Technical Guruji,627
14,https://www.youtube.com/watch?v=0nmQ5b7ZPI4,Everything You Always Wanted to Know About Intel Evo | Croma Stores🔥🔥🔥,111209,5309,389,Technical Guruji,844
15,https://www.youtube.com/watch?v=IgljBkR1QUo,What Happened In South Korea🇰🇷?🔥🔥🔥,66017,4628,351,Technical Guruji,580
16,https://www.youtube.com/watch?v=Vg3rHmOaSEw,The Ultimate Sony Camera For YouTubers - Sony ZV-E1🔥🔥🔥,125825,6107,376,Technical Guruji,641
17,https://www.youtube.com/watch?v=x-Rx3SPFE1A,Samsung Galaxy Z Fold 5 Unboxing & First Look - Power Of The Fold🔥🔥🔥,166911,6737,480,Technical Guruji,486
18,https://www.youtube.com/watch?v=hiUVb3GpQnE,Folding iPhone Coming | Twitter X Update | Apple Mac Mini | STM #345 | Technical Guruji🔥🔥🔥,70936,4088,377,Technical Guruji,716
19,https://www.youtube.com/watch?v=jWpPHASZwRo,Service Support SCAM Exposed🔥🔥🔥,45001,3684,274,Technical Guruji,389
20,https://www.youtube.com/watch?v=JlJqJNZc6S0,OnePlus 12 | X.com Problems | Foxconn In India | S24 Ultra | WTF | Episode 54 | Technical Guruji🔥🔥🔥,167774,8244,521,Technical Guruji,781
21,https://www.youtube.com/watch?v=CFRPG2evDmI,JioBook (2023) 4G Unboxing & First Look - Good Deal For Students🔥🔥🔥,633898,20467,2144,Technical Guruji,580
22,https://www.youtube.com/watch?v=BY2-dYAOomk,The Future Of Tech In India Ft. Rajeev Chandrasekhar🔥🔥🔥,41560,3140,261,Technical Guruji,1542
23,https://www.youtube.com/watch?v=jO1LsOCkoCk,Samsung Galaxy Z Flip 5 Unboxing & First Look - The GameChanger Flip Smartphone🔥🔥🔥,173085,6658,468,Technical Guruji,590
24,https://www.youtube.com/watch?v=iv6kG-Plx5c,OnePlus Nord CE 3 5G Unboxing & First Look - All You Need Nord🔥🔥🔥,551416,19292,1184,Technical Guruji,440
25,https://www.youtube.com/watch?v=Mz9pvhHHHqE,Best TWS For Music By Sony? Sony WF-C700N Unboxing & First Look🔥🔥🔥,106465,4964,352,Technical Guruji,354
26,https://www.youtube.com/watch?v=3rYRHmkEUFs,YouTube AD Revenue | iPhone 15 Pro | Nothing Phone(2) Price | STM #344 | Technical Guruji🔥🔥🔥,111406,6200,604,Technical Guruji,602
27,https://www.youtube.com/watch?v=yZdptQBb55E,SIM Card Swapping SCAM Exposed🔥🔥🔥,157467,9342,605,Technical Guruji,392
28,https://www.youtube.com/watch?v=NqDkfmm19O0,JioBook 2 Launch | Twitter Is X | Galaxy Z Flip/Fold 5 | WTF | Episode 53 | Technical Guruji🔥🔥🔥,85162,4806,435,Technical Guruji,561
29,https://www.youtube.com/watch?v=jz34A3gPjjo,The Best Smartphone Experience Under ₹40K!🔥🔥🔥,141612,6847,865,Technical Guruji,323
30,https://www.youtube.com/watch?v=6sKU_WsxNnM,I Got Every New Samsung Product🔥🔥🔥,251329,0,973,Technical Guruji,569
31,https://www.youtube.com/watch?v=zuf3VO_HliE,Samsung Galaxy Z Flip 5 First Look - The Best Flip Smartphone🔥🔥🔥,367920,14075,796,Technical Guruji,619
