Index,Video Url,Video Title,Video Views,Video Likes,Video Comments,Video Author,Duration In Seconds
55,https://www.youtube.com/watch?v=PPNZS_PxE2o,TOO LATE to learn code!? 👩‍💻 #programming #tech #technology #code #software #developer #career,44874,3457,52,Coding with Lewis,28
56,https://www.youtube.com/watch?v=vlnL_bEV_DA,"Tech News 1602 || Google Pixel 8,iPhone SE4,Chinmayi Scam,Oppo Find N3 Flip,Lava Guinness Record.Etc",232930,16967,471,Prasadtechintelugu,450
57,https://www.youtube.com/watch?v=VsNHrAzx5_w,Contactors: how we power the big stuff,833443,41879,2598,Technology Connections,1550
58,https://www.youtube.com/watch?v=M_y0u_1tmmc,Moms and Technology | Salonayyy | Saloni Gaur,4712314,381884,639,Salonayyy,58
59,https://www.youtube.com/watch?v=7dcCjqJ9MoE,COOL INVENTIONS YOU SHOULD SEE,1191896,8813,329,TechZone,1153
60,https://www.youtube.com/watch?v=vLZ1QyB9BNk,India's First Driverless Car !,2011281,75962,1005,Tech Burner,404
61,https://www.youtube.com/watch?v=zjM9Ifg4_mE,CONSTRUCTION TECHNOLOGIES THAT HAVE REACHED A NEW LEVEL,548807,3112,65,TechZone,877
62,https://www.youtube.com/watch?v=difvQyWFmxw,"Technology I - Vocabulary for Kids - Laptop, monitor, mouse, speakers, webcam, microphone...",349605,3597,0,Smile and Learn - English,244
63,https://www.youtube.com/watch?v=TaZZOxYDfeA,How much does B.TECH pay?,5380217,153297,3819,Broke Brothers,34
64,https://www.youtube.com/watch?v=Zeza83WlXxg,Should we be worried about technology?,253020,4552,218,The Economist,651
65,https://www.youtube.com/watch?v=IOubL93zQHI,New Audi with augmented reality technology!,1086026,23359,1183,Supercar Blondie,557
66,https://www.youtube.com/watch?v=1ZKkvuuzG98,Bloomberg Technology 08/21/2023,3977,97,4,Bloomberg Technology,2668
67,https://www.youtube.com/watch?v=AuOTDjVzA2g,This random Programmer FIXED GTA5 👩‍💻 #gaming #technology #programming #software #career #devops,2975599,167808,1076,Coding with Lewis,36
68,https://www.youtube.com/watch?v=OzGudoy7keA,How To Grow 69 Millions Of Cucumbers In Greenhouse And Harvest - Modern Agriculture Technology,11238195,35318,1173,Noal Farm,527
69,https://www.youtube.com/watch?v=0BR-HgA3mlo,I bought the most SATISFYING TECH on the internet.,16248505,302089,13946,Mrwhosetheboss,1182
70,https://www.youtube.com/watch?v=AkdrpnaOfYA,INCREDIBLE TECHNOLOGIES FOR THE URBAN ENVIRONMENT,487679,4212,136,TechZone,802
71,https://www.youtube.com/watch?v=kM5wQUw2kIs,कभी सोचा है Android वालो ??🤔🤔 #Shorts #ManojSaru #TechnologyGyan #iPhone,15460281,1803063,4840,Manoj Saru,59
72,https://www.youtube.com/watch?v=nmY2kgWYwyQ,I bought the THINNEST Tech in the world.,20415786,474317,13121,Mrwhosetheboss,1034
73,https://www.youtube.com/watch?v=R_TnYywNhtM,Rs.200 Mini Useful Vs Useless Gadgets - Let's Test #shorts #gadgets,5664844,535932,418,Tech FC Shorts,52
